2025-04-25 09:35:29.602 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 41.8ms, Max Diff: 184.6ms, Min Diff: 0.0ms
2025-04-25 09:35:30.891 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 42.2ms, Max Diff: 184.6ms, Min Diff: 0.0ms
2025-04-25 09:35:36.094 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 43.0ms, Max Diff: 184.6ms, Min Diff: 0.0ms
2025-04-25 09:35:41.327 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 41.2ms, Max Diff: 159.5ms, Min Diff: 0.0ms
2025-04-25 09:35:46.433 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 40.2ms, Max Diff: 148.4ms, Min Diff: 0.0ms
2025-04-25 09:35:51.489 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 40.1ms, Max Diff: 148.4ms, Min Diff: 0.1ms
2025-04-25 09:35:56.609 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 41.3ms, Max Diff: 213.5ms, Min Diff: 0.1ms
2025-04-25 09:36:01.622 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 48.6ms, Max Diff: 213.5ms, Min Diff: 0.1ms
2025-04-25 09:36:06.778 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 44.6ms, Max Diff: 213.5ms, Min Diff: 0.0ms
2025-04-25 09:36:11.913 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 41.0ms, Max Diff: 213.5ms, Min Diff: 0.0ms
2025-04-25 09:36:17.228 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 52.4ms, Max Diff: 213.5ms, Min Diff: 0.0ms
2025-04-25 09:36:22.391 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 49.9ms, Max Diff: 213.5ms, Min Diff: 0.0ms
2025-04-25 09:36:27.592 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 51.1ms, Max Diff: 188.2ms, Min Diff: 0.0ms
2025-04-25 09:36:32.610 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 51.9ms, Max Diff: 188.2ms, Min Diff: 0.0ms
2025-04-25 09:36:37.757 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 49.5ms, Max Diff: 188.2ms, Min Diff: 0.1ms
2025-04-25 09:36:42.969 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 52.6ms, Max Diff: 170.2ms, Min Diff: 0.1ms
2025-04-25 09:36:48.051 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 51.3ms, Max Diff: 149.5ms, Min Diff: 0.1ms
2025-04-25 09:36:53.200 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 44.6ms, Max Diff: 149.5ms, Min Diff: 0.1ms
2025-04-25 09:36:58.268 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 47.0ms, Max Diff: 247.1ms, Min Diff: 0.1ms
2025-04-25 09:37:03.498 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 51.8ms, Max Diff: 247.1ms, Min Diff: 0.1ms
2025-04-25 09:37:08.752 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 44.9ms, Max Diff: 247.1ms, Min Diff: 0.1ms
2025-04-25 09:37:13.848 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 46.3ms, Max Diff: 247.1ms, Min Diff: 0.1ms
2025-04-25 09:37:18.897 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 52.2ms, Max Diff: 247.1ms, Min Diff: 0.1ms
2025-04-25 09:37:23.956 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 42.0ms, Max Diff: 247.1ms, Min Diff: 0.1ms
2025-04-25 09:37:29.116 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 41.9ms, Max Diff: 146.4ms, Min Diff: 0.1ms
2025-04-25 09:37:34.254 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 49.1ms, Max Diff: 146.4ms, Min Diff: 0.0ms
2025-04-25 09:37:39.456 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 39.3ms, Max Diff: 146.4ms, Min Diff: 0.0ms
2025-04-25 09:37:44.607 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 44.6ms, Max Diff: 195.4ms, Min Diff: 0.0ms
2025-04-25 09:37:49.626 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 49.5ms, Max Diff: 195.4ms, Min Diff: 0.0ms
2025-04-25 09:37:54.883 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 43.2ms, Max Diff: 195.4ms, Min Diff: 0.0ms
2025-04-25 09:37:59.910 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 48.1ms, Max Diff: 218.9ms, Min Diff: 0.0ms
2025-04-25 09:38:04.928 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 50.7ms, Max Diff: 218.9ms, Min Diff: 0.0ms
2025-04-25 09:38:10.156 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 41.5ms, Max Diff: 218.9ms, Min Diff: 0.0ms
2025-04-25 09:38:15.293 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 46.7ms, Max Diff: 218.9ms, Min Diff: 0.0ms
2025-04-25 09:38:20.385 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 49.6ms, Max Diff: 218.9ms, Min Diff: 0.1ms
2025-04-25 09:38:25.630 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 43.3ms, Max Diff: 218.9ms, Min Diff: 0.1ms
2025-04-25 09:38:30.708 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 44.4ms, Max Diff: 181.9ms, Min Diff: 0.1ms
2025-04-25 09:38:35.854 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 44.2ms, Max Diff: 181.9ms, Min Diff: 0.1ms
2025-04-25 09:38:40.949 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 38.7ms, Max Diff: 194.4ms, Min Diff: 0.0ms
2025-04-25 09:38:46.120 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 43.9ms, Max Diff: 194.4ms, Min Diff: 0.0ms
2025-04-25 09:38:51.173 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 43.1ms, Max Diff: 194.4ms, Min Diff: 0.0ms
2025-04-25 09:38:56.217 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 37.6ms, Max Diff: 194.4ms, Min Diff: 0.0ms
2025-04-25 09:39:01.393 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 46.1ms, Max Diff: 194.4ms, Min Diff: 0.0ms
2025-04-25 09:39:06.573 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 42.5ms, Max Diff: 194.4ms, Min Diff: 0.0ms
2025-04-25 09:39:11.814 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 36.9ms, Max Diff: 145.6ms, Min Diff: 0.0ms
2025-04-25 09:39:17.014 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 49.6ms, Max Diff: 168.8ms, Min Diff: 0.2ms
2025-04-25 09:39:22.244 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 43.2ms, Max Diff: 168.8ms, Min Diff: 0.2ms
2025-04-25 09:39:27.547 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 41.7ms, Max Diff: 168.8ms, Min Diff: 0.2ms
2025-04-25 09:39:32.727 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 50.1ms, Max Diff: 172.7ms, Min Diff: 0.2ms
2025-04-25 09:39:37.855 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 45.7ms, Max Diff: 172.7ms, Min Diff: 0.1ms
2025-04-25 09:39:42.961 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 42.6ms, Max Diff: 172.7ms, Min Diff: 0.1ms
2025-04-25 09:39:48.184 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 47.1ms, Max Diff: 172.7ms, Min Diff: 0.1ms
2025-04-25 09:39:53.282 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 43.9ms, Max Diff: 172.7ms, Min Diff: 0.1ms
2025-04-25 09:39:58.436 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 42.2ms, Max Diff: 130.0ms, Min Diff: 0.1ms
2025-04-25 09:40:03.544 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 46.3ms, Max Diff: 253.1ms, Min Diff: 0.0ms
2025-04-25 09:40:08.609 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 41.4ms, Max Diff: 253.1ms, Min Diff: 0.0ms
