2025-04-24 11:03:50.282 - INFO - sensor [/livox/imu] - IMU stats: rate=232.88Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.288 - INFO - sensor [/livox/imu] - IMU stats: rate=232.65Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.292 - INFO - sensor [/livox/imu] - IMU stats: rate=232.62Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.298 - INFO - sensor [/livox/imu] - IMU stats: rate=232.62Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.302 - INFO - sensor [/livox/imu] - IMU stats: rate=232.59Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.308 - INFO - sensor [/livox/imu] - IMU stats: rate=232.58Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.312 - INFO - sensor [/livox/imu] - IMU stats: rate=232.57Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.317 - INFO - sensor [/livox/imu] - IMU stats: rate=232.57Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.322 - INFO - sensor [/livox/imu] - IMU stats: rate=232.59Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.327 - INFO - sensor [/livox/imu] - IMU stats: rate=232.65Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.332 - INFO - sensor [/livox/imu] - IMU stats: rate=232.68Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.338 - INFO - sensor [/livox/imu] - IMU stats: rate=232.95Hz, interval=5.0ms, dropped=9436
2025-04-24 11:03:50.342 - INFO - sensor [/livox/imu] - IMU stats: rate=233.43Hz, interval=4.9ms, dropped=9436
2025-04-24 11:03:50.349 - INFO - sensor [/livox/imu] - IMU stats: rate=233.79Hz, interval=4.9ms, dropped=9436
2025-04-24 11:03:50.363 - INFO - sensor [/livox/imu] - IMU stats: rate=233.50Hz, interval=5.1ms, dropped=9436
2025-04-24 11:03:50.368 - INFO - sensor [/livox/imu] - IMU stats: rate=232.56Hz, interval=5.1ms, dropped=9436
