2025-04-24 10:27:03.729 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.5ms, Max Diff: 9.9ms, Min Diff: 0.1ms
2025-04-24 10:27:06.496 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.3ms, Max Diff: 9.9ms, Min Diff: 0.0ms
2025-04-24 10:27:11.515 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.4ms, Max Diff: 9.9ms, Min Diff: 0.0ms
2025-04-24 10:27:16.695 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.2ms, Max Diff: 11.2ms, Min Diff: 0.0ms
2025-04-24 10:27:21.766 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.1ms, Max Diff: 11.2ms, Min Diff: 0.0ms
2025-04-24 10:27:26.929 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.3ms, Max Diff: 11.2ms, Min Diff: 0.1ms
2025-04-24 10:27:31.930 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.6ms, Max Diff: 35.6ms, Min Diff: 0.1ms
2025-04-24 10:27:37.111 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.8ms, Max Diff: 35.6ms, Min Diff: 0.1ms
2025-04-24 10:27:42.230 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.3ms, Max Diff: 35.6ms, Min Diff: 0.1ms
2025-04-24 10:27:47.303 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.7ms, Max Diff: 35.6ms, Min Diff: 0.1ms
2025-04-24 10:27:52.435 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.8ms, Max Diff: 35.2ms, Min Diff: 0.1ms
2025-04-24 10:27:57.458 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.7ms, Max Diff: 35.2ms, Min Diff: 0.1ms
2025-04-24 10:28:02.557 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.4ms, Max Diff: 35.2ms, Min Diff: 0.1ms
2025-04-24 10:28:07.742 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.9ms, Max Diff: 22.7ms, Min Diff: 0.1ms
2025-04-24 10:28:12.809 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.6ms, Max Diff: 16.6ms, Min Diff: 0.0ms
2025-04-24 10:28:17.990 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.0ms, Max Diff: 29.0ms, Min Diff: 0.0ms
2025-04-24 10:28:22.998 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.1ms, Max Diff: 29.0ms, Min Diff: 0.0ms
2025-04-24 10:28:28.060 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.2ms, Max Diff: 29.0ms, Min Diff: 0.0ms
2025-04-24 10:28:33.087 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.2ms, Max Diff: 29.0ms, Min Diff: 0.3ms
